,label,portion_info,energy,protein,total_fat,carbs,fibre,sodium,portion_size
3021,"Rice, puffed",Cup (21g),68.25,1.58,0.02,15.46,0.06,0,21
3022,"Rice, unpolished, raw",Cup (178.4g),640.46,13.02,4.46,137.19,1.78,96.34,178.4
3023,"Rice, with prawn, squid and chicken, stir fried",Plate-23cm (441g),692.37,28.67,19.4,100.55,4.85,1671.39,441
3024,"Rice, with stewed beef",Plate-23cm (392g),599.76,30.97,18.42,77.62,4.31,764.4,392
3025,Risotto,Plate-23cm (420g),777,19.32,49.52,63.84,3.78,1289.4,420
3026,"Roast Beef Salad, Subway",Bowl-dessert (15 cm) (344g),120.4,10.32,2.79,13,3.99,282.08,344
3027,"Roasta Burger, KFC",Whole (230g),437,29.9,17.5,39.79,3.22,938.4,230
3029,roasted chicken,1 portion (130g),221.24,26.59,12.4,0.83,0.54,405.65,130
3030,roasted duck,1 portion (156g),291.99,26.89,19.47,1.83,0,253.09,156
3031,Roasted duck rice,Bowl-soup (16 and 1/2 cm) (410g),714.18,27.72,23.44,96.76,0.93,686.14,410
3032,Roasted duck without skin,1 portion (248g),280.32,36.13,14.6,1.12,0,842.48,248
3033,Roasted mock duck,Plate-20cm (86g),313.9,14.79,26.32,4.47,1.2,740.46,86
3034,Roasted pork belly,Piece (8.3g),32.16,1.98,2.65,0.07,0,36.77,8.3
3036,Rockmelon,Cup (165g),47.37,0.99,0.17,9.41,1.98,28.05,165
3037,"Rohu, raw",Whole (679g),257.07,57.38,0.95,4.75,0,108.64,679
3038,Rojak,Plate-23cm (323g),517.58,16.29,21.48,63.85,6.84,914.32,323
3040,Roll bread,Whole (90g),261.17,9.18,3.42,46.44,3.15,509.4,90
3041,"Roll, cinnamon, with icing",Piece (50g),166.5,2.5,6.1,25.8,1.2,382.5,50
3042,"Roll, rice puff, with caramel",Piece (21g),75.6,0.59,0.82,16.49,0.13,89.46,21
3044,"Rolls, hamburger or hotdog, plain",1 portion (43g),119.97,4.09,1.86,20.36,0.9,205.97,43
3045,Root beer,Can (330g),135.66,0,0,34.98,0,42.9,330
3046,Root beer float,Glass (250ml) (300g),196.71,1.71,5.25,36.54,0.12,58.74,300
3047,"Rose wine, unspecified type",Glass (250ml) (120g),81.53,0.24,0,2.16,0,27.6,120
3048,Rosti,Piece (187g),753.16,10.3,52.36,60.18,6.98,872.11,187
3049,Roti bom,Piece (351g),793.26,16.85,38.75,94.42,3.86,1611.09,351
3050,Roti boyan,100 g,221,5,5,38,2,56,100
3051,Roti canai,Piece (46.4g),137.34,3.43,5.15,19.3,1.86,178.18,46.4
3052,Roti jala,Piece (80g),109.37,3.28,3.12,17.04,3.76,192,80
3053,Roti john,Whole (252.5g),722.38,25.25,34.59,77.01,11.36,2014.95,252.5
3054,Roti telur,Piece (135g),356.4,12.42,18.23,46.17,1.49,529.2,135
3055,Rum,1 portion (30g),63.66,0,0,0,0,0.6,30
3056,Sa kei ma,Piece (60g),295.8,2.52,17.4,32.16,0.3,66,60
3057,Saba Fish with Rice Set,1 portion (378g),735.51,31.27,23.77,99.13,4.62,543.64,378
3058,Saba mackerel,Piece (50g),133,8.7,10.9,0,0,32,50
3059,Saffron,Teaspoon (2g),1.38,0.05,0.01,0.26,0.03,0.56,2
3060,"Sago, pearl",Tablespoon (11g),38.72,0.02,0.01,9.63,0.06,1.32,11
3061,Sake (rice wine),1 portion (29.1g),38.99,0.15,0,1.46,0,0.58,29.1
3062,"Salad with 3 vegetable toppings, no dressing",Bowl-soup (16 and 1/2 cm) (253g),58.19,4.05,1.37,7.59,4.3,326.37,253
3063,"Salad with chicken and 3 vegetable toppings, no dressing",Bowl-soup (16 and 1/2 cm) (308g),147.84,21.56,4.13,5.85,6.78,517.44,308
3064,"Salad with chicken and 4 vegetable toppings, no dressing",Bowl-soup (16 and 1/2 cm) (342g),177.84,23.26,5.37,8.89,8.21,595.08,342
3065,"Salad with fish and 3 vegetable toppings, no dressing",Bowl-soup (16 and 1/2 cm) (272g),114.24,12.24,4.52,5.98,5.44,892.16,272
3066,"Salad, ocean chef, Long John Silver's",1 portion (320g),230.98,26.88,8,13.12,1.92,985.6,320
3067,"Salad, seafood, Long John Silver's",1 portion (325g),290.51,13,20.48,14.95,1.3,734.5,325
3068,"Salad, vegetable, tossed, without dressing",Cup (138g),22.08,1.73,0.1,2.24,2.21,35.88,138
3069,"Salak, raw",Whole (89g),45.23,0.41,0.06,10.81,1.17,3.52,89
3070,"Salami, unspecified",Whole (20g),85.6,4.32,7.48,0.26,0,299.2,20
3071,Salmon,1 portion (122g),169.58,28.61,5.25,0,0,70.76,122
3072,Salmon and cheese crepe,1 portion (200g),395.5,28.06,19.92,25.4,1.64,1337.3,200
3073,Salmon and Teriyaki Chicken Bento,1 portion (446g),664.54,28.54,16.99,99.9,8.03,1097.16,446
3074,Salmon don,Bowl-soup (16 and 1/2 cm) (405g),1709.1,68.04,39.37,270.95,6.89,967.95,405
3075,Salmon Oil,Tablespoon (13.6g),122.67,0,13.6,0,0,0,13.6
3076,Salmon sandwich,1 piece (220g),400,14,13,58,1.1,719,220
3077,"Salmon spread, canned",One third (56g),99.12,5.49,6.92,3.81,0.78,204.96,56
3078,"Salmon, australian canned in brine, drained",Cup (210g),341.63,43.05,18.69,0,0,1104.6,210
3079,"Salmon, australian, canned in brine",Cup (240g),370.92,46.8,20.4,0,0,1200,240
3080,"Salmon, grilled",1 portion (122g),169.58,28.61,5.25,0,0,70.76,122
3081,"Salmon, pink, canned in brine",Cup (240g),303.72,46.56,12.96,0,0,1315.2,240
3082,"Salmon, pink, canned in brine,drained",Cup (210g),495.33,89.46,14.7,1.05,0,1026.9,210
3083,"Salmon, raw",Piece (276g),472.95,46.14,32.23,0,0,83.46,276
3084,"Salmon, red, canned in brine",Cup (240g),414.55,46.56,25.44,0,0,907.2,240
3085,"Salmon, red, canned in brine, drained",Cup (210g),383.84,43.05,23.52,0,0,840,210
3086,"Salmon, smoked, sliced",Slice (25g),33.55,5.75,1.15,0,0,316.5,25
3087,"Salmon, steamed",Piece (310g),570.4,84.82,23.25,0,0,164.3,310
3088,Salsa dip,Bottle (322g),125.58,8.69,0.64,21.57,6.12,1993.18,322
3089,"Salt, Pansalt, low sodium",Teaspoon (5g),0,0,0,0,0,1150,5
3090,"Salt, table",Teaspoon (5g),0,0,0,0,0,1958.65,5
3091,Salted egg pork rib,Plate-20cm (314g),973.4,52.75,67.82,37.68,5.65,1664.2,314
3092,Salted egg squid,Plate-20cm (215g),814.85,23.44,63.27,38.06,2.37,1092.2,215
3093,Salty tau sah piah,Whole (48g),213.6,3.84,11.38,24,1.01,130.08,48
3094,Sambal belacan,Teaspoon (12g),14.64,0.62,0.78,1.27,0.54,227.4,12
3095,Sambal chilli,Teaspoon (12g),18.84,0.41,1.2,1.62,0.55,195.12,12
3096,Sambal chilli taukwa,Bowl-soup (16 and 1/2 cm) (373.7g),392.39,43.35,23.92,1.57,7.59,618.85,373.7
3097,Sambal goreng udang,Plate-16cm (110.05g),141.96,12,9.7,1.73,1.72,497.43,110.05
3098,Sambal kangkong,Bowl-soup (16 and 1/2 cm) (300g),396,9.3,30.9,19.8,6.6,2184,300
3099,Sambal lala,Plate-23cm (322g),379.96,25.44,25.34,12.88,6.44,2125.2,322
3100,Sambal long beans,Plate-20cm (73g),70.37,2.69,5.84,1.76,2.25,254.62,73
3101,Sambal petai,Plate-16cm (131g),111.35,8.25,6.68,4.32,6.97,320.69,131
3102,Sambal sotong,Bowl-soup (16 and 1/2 cm) (219g),251.85,26.94,11.39,10.51,5.04,1944.72,219
3103,Sambal sweet potato leaves,Plate-20cm (268g),289.44,8.31,25.57,6.7,3.75,1002.32,268
3104,Sambal tumis,Dessertspoon (24g),36.54,1.37,2.82,1.42,1.19,306.2,24
3105,Sambal udang,Plate-20cm (120g),93.25,7.25,5.12,4.47,2.42,489.71,120
3106,"Sambal, for seafood",Gram (1g),2.85,0.03,0.25,0,0.04,0,1
3107,"Sambal, home cooked",1 portion (37.48g),56.97,2.14,4.42,2.21,1.87,478.24,37.48
3108,"Sambar, dhal curry",Bowl-soup (16 and 1/2 cm) (285.4g),177.35,7.99,6.56,21.41,7.71,1315.69,285.4
3109,Samosa,Piece (68g),206.04,3.54,11.42,22.24,1.84,310.76,68
3112,Sardine curry puff,Piece (82g),255.84,6.81,14.19,25.26,2.21,332.1,82
3113,Sardine without bones,Piece (62g),153.51,12.36,11.46,0.22,0,162.63,62
3114,"Sardine, canned in oil",Cup (110g),337.63,19.36,29.26,0,0,385,110
3115,"Sardine, canned in oil, drained",Whole (15g),32.87,3.15,2.27,0,0,87.75,15
3116,"Sardine, canned in tomato sauce (HCS)",Can (290g),339.3,42.05,19.14,0,3.77,725,290
3117,"Sardine, canned in tomato sauce, undrained",Cup (210g),340.2,35.7,20.79,2.94,0,735,210
3118,"Sardines, raw",Whole (126g),103.9,15.16,4.14,0.23,0,131.24,126
3119,Sashimi bowl,Plate-23cm (438g),604.44,26.28,35.39,44.68,6.13,1248.3,438
3120,Satay bee hoon,Plate-20cm (664g),727.04,42.98,39.44,48.09,7.22,2922.4,664
3121,satay sauce,Tablespoon (29g),77.43,1.65,6.47,3.13,0.94,137.75,29
3122,"Satay, beef, frozen",Stick (16g),29.92,3.02,0.64,3.02,0.08,50.24,16
3123,"Satay, chicken, canned",Can (299g),602.19,35.79,41.47,21.59,2.27,3860.24,299
3124,"Satay, chicken, frozen",Stick (14g),27.02,2.84,0.7,2.38,0.07,57.96,14
3125,"Satay, mutton, frozen",Stick (14g),29.96,2.59,1.18,2.25,0.06,42.98,14
3126,"Sauce, abalone",Tablespoon (15g),11.25,0.33,0.02,2.45,0.04,411.15,15
3127,"Sauce, barbecue, commercial",Tablespoon (22g),38.54,0.15,0.04,9.75,0.24,140.8,22
3129,"Sauce, black pepper, commercial",Bottle (240g),271.2,6,7.2,46.32,9.12,4238.4,240
3130,"Sauce, char siew",Bottle (328.33g),751.65,5.35,2.5,176.94,4.5,9003.3,328.33
3131,"Sauce, chee cheong fun",Bowl-rice (11and 1/2 cm) (114g),240.54,1.71,6.04,44.92,0,1047.66,114
3132,"Sauce, chilli (HCS)",Tablespoon (15g),24.15,0.12,0.05,5.81,0.15,101.7,15
3133,"Sauce, chilli, bottled",Tablespoon (20g),22.61,0.56,0.08,4.9,0.14,228.8,20
3134,"Sauce, chilli, nonya, steamed fish",Bottle (236g),356.36,4.96,15.81,49.09,7.79,1935.2,236
3135,"Sauce, chilli, thai",Bottle (400g),808,3.6,0.8,197.2,6.8,5356,400
3137,"Sauce, hoisin",Tablespoon (17g),27.06,0.43,0.5,5.22,0.13,346.05,17
3138,"Sauce, hot mustard, McDonald's",1 portion (10g),23.33,0.17,1.2,2.73,0,83.33,10
3139,"Sauce, kung bo",Bottle (263.33g),355.84,4.95,6.5,69.39,2.05,3390.82,263.33
3140,"Sauce, lemon",Tablespoon (16g),21.44,0.04,0.09,5.11,0,1.28,16
3141,"Sauce, pasta style basil pesto, commercial",Cup (131g),5,6.94,48.6,9.69,1.97,1638.81,131
3142,"Sauce, pasta, tomato based, commercial, heated",Cup (280g),152.74,4.48,4.48,21.28,6.16,1058.4,280
3143,"Sauce, peking dip, commercial",Bottle (293g),764.73,11.13,16.41,143.57,9.38,5493.75,293
3145,"Sauce, seafood",Tablespoon (17g),27.06,0.43,0.51,5.22,0.14,346.12,17
3146,"Sauce, soya, dark, savoury",Tablespoon (17g),14.62,1.33,0.07,2.19,0,688.5,17
3147,"Sauce, soya, sweet",Tablespoon (20g),35.8,1.34,0.08,7.42,0,561.4,20
3148,"Sauce, spare rib",Bottle (347g),711.35,11.45,7.98,148.52,6.59,10517.57,347
3149,"Sauce, sweet and sour, commercial",Bottle (448g),631.68,3.58,0.9,151.87,2.69,3360,448
3150,"Sauce, sweet and sour, McDonald's",Packet (28.3g),53.06,0.18,0.18,12.2,0,168.03,28.3
3151,"Sauce, tabasco",Teaspoon (4.7g),0.56,0.06,0.04,0.04,0.03,29.75,4.7
3152,"Sauce, tartar",1 portion (30g),159.3,0.42,17.58,1.26,0.09,212.1,30
3153,"Sauce, teriyaki",Bottle (367g),451.41,11.38,0.37,100.93,2.2,13178.97,367
3154,"Sauce, white, home prepared",Tablespoon (20g),27.94,0.78,1.74,2.34,0.04,48,20
3155,"Sauce, worcestershire, commercial",Tablespoon (22g),16.94,0.29,0.04,3.87,0.15,233.2,22
3156,"Sauce, worcestershire, lea and perrins",Bottle (328g),259.12,2.95,0.33,61.01,1.64,6684.64,328
3157,"Sausage McGriddle with Egg and Cheese, McDonald's",Whole (199g),483.57,23.88,22.01,48,3,1570.11,199
3158,"Sausage McGriddle, McDonald's",Whole (135g),351,13.5,12,46.98,3,1200.15,135
3159,"Sausage McMuffin with egg, McDonald's",1 portion (163g),363.49,21.19,18,26.99,3.99,989.41,163
3160,"Sausage McMuffin, McDonald's",Whole (112g),280,14.56,12,26,4,870.24,112
3162,"Sausage roll, individual size, ready to eat",Whole (130g),376.94,10.4,22.88,31.46,2.6,803.4,130
3163,"Sausage, cabanossi",Piece (57.66g),121.66,11.01,8.01,1.5,0.69,746.7,57.66
3164,"Sausage, chicken, chilli",Piece (45.33g),68.45,7.66,3.9,0.73,0.68,668.62,45.33
3165,"Sausage, cocktail, chicken, boiled",Gram (75g),147,17.92,7.83,0,0,498.75,75
3166,"Sausage, pork, cured, smoke, linked, grilled",Piece (68g),264.59,15.1,21.62,1.43,0,1020,68
3167,"Sausage, pork, home prepared, fried",Whole (75g),195.39,11.55,15,3.9,1.05,675,75
3168,"Sausage, pork, home prepared, grilled",Whole (75g),213.49,12.6,16.28,4.58,1.13,712.5,75
3169,"Sausage, pork, raw",Whole (95g),247.73,11.4,21.09,3.04,1.24,655.5,95
3170,Sauteed spinach,1 portion (156.07g),254.52,5.26,25.56,0.91,0.19,907.19,156.07
3171,Sayur lodeh,Bowl-soup (16 and 1/2 cm) (234g),152.68,6.55,13.34,1.64,2.57,1099.8,234
3172,"Scad, hairtail, dried",Whole (53g),42.48,9.23,0.51,0,0,1507.07,53
3173,"Scad, hairtail, raw",Whole (265g),135.73,22.71,3.95,2.34,0,80.14,265
3174,"Scad, one finlet, raw",Whole (125g),58.13,12.88,0.69,0.13,0,32.5,125
3175,"Scad, round, raw",Whole (105g),53.61,10.77,1.16,0,0,25.6,105
3176,"Scad, yellowtail, raw",Whole (225g),101.98,21.29,1.88,0,0,54.45,225
3177,"Scallop dinner, Long John Silver's",Plate-23cm (1g),2.34,0.05,0.14,0.21,0,4.93,1
3178,"Scallop, boiled",1 portion (56g),58,12.43,0.84,0.28,0,86.8,56
3179,"Scallop, dried",Piece (5g),13.2,2.78,0.12,0.26,0,15.3,5
3180,"Scallop, dried, with lettuce, stir fried",Plate-20cm (124.07g),124.07,2.36,11.61,2.61,0,247.27,124.07
3181,"Scallop, raw",Whole (13g),11.2,2.41,0.13,0,0,28.6,13
3182,Scallops,1 portion (56g),58,12.43,0.84,0.28,0,86.8,56
3183,Scone,Piece (74g),207.66,6.73,6.51,29.82,1.26,606.8,74
3184,"Scone, plain, home prepared",Whole (40g),138.91,3.36,4.24,21.68,0.72,278,40
3185,Scrambled egg,Tablespoon (20.55g),33.5,2.14,2.77,0.08,0,28.98,20.55
3190,Screwdriver,Glass (250ml) (30g),24.6,0.15,0,2.58,0.02,0.3,30
3191,Sea bass,Piece (333g),171.83,37.76,2.2,0,0,161.84,333
3192,"Sea bass, cock up, raw",Whole (331g),189.5,40.62,1.37,0,0,169.9,331
3193,Sea coconut,1 portion (100g),86,0.3,0,21.3,0.6,8,100
3194,"Sea cucumber, soaked",Piece (337g),90.99,21.57,0.34,0.34,0,138.17,337
3195,Sea moss,Cup (100g),246,22.8,0.8,36.8,21.9,103,100
3196,"Sea pike, blunt jawed, raw",Whole (212g),106.98,24.59,0.98,0,0,116.81,212
3197,"Seafood and vegetable cutlet, frozen",Piece (35g),77.35,2.59,4.8,6.51,0.18,136.85,35
3198,Seafood bee hoon soup,Bowl-soup (16 and 1/2 cm) (654g),361.66,28.71,9.16,39.37,1.31,1595.89,654
3199,Seafood claypot noodles,Bowl-soup (16 and 1/2 cm) (555g),677.1,29.97,43.29,42.18,5,3413.25,555
3200,Seafood ee mee,Plate-23cm (572g),721.58,40.9,25.68,78.08,4.75,2227.2,572
3201,Seafood fried rice,Bowl-soup (16 and 1/2 cm) (428g),907.36,28.25,32.96,124.55,0.86,1245.48,428
3202,Seafood Paella,1 portion (617g),684.87,37.64,23.75,80.21,17.28,2616.08,617
3203,Seafood Pancake,1 portion (314g),628,23.24,26.66,73.48,36.74,1268.56,314
3205,"Seafood platter, Long John silver's",Plate-23cm (1g),2.39,0.07,0.14,0.21,0,5.28,1
3206,Seafood porridge,Bowl-soup (16 and 1/2 cm) (607g),362.36,21.39,8.23,50.6,0.84,1071.46,607
3207,Seafood risotto,Plate-23cm (374g),579.7,21.32,34.48,46,2.24,908.82,374
3208,Seafood sandwich,1 piece (180g),391,17.7,21.3,30.9,1.8,981,180
3209,Seafood soup,Bowl-soup (16 and 1/2 cm) (571g),207.04,21.82,13.43,0,3.36,1533.25,571
3210,"Seafood tempura snacks, assorted",Plate-16cm (130g),361.4,6.89,16.69,46.02,1.17,1227.2,130
3211,Seafood tom yam soup,Bowl-soup (16 and 1/2 cm) (668g),285.24,22.04,18.57,7.35,2.61,2638.6,668
3212,Seafood tom yum ban mian,Bowl-soup (16 and 1/2 cm) (1057g),613.06,33.82,13.64,89.85,7.4,4439.4,1057
3213,"Seafood, mixed, assam, claypot",Bowl-soup (16 and 1/2 cm) (404g),255.97,22.4,14.58,8.89,6.04,1393.64,404
3214,Seasoned baby octopus,Plate-20cm (225g),321.75,34.2,12.38,18.68,2.25,1503,225
3215,"Seasoning powder, instant noodles",Packet (5.6g),10.75,0.69,0.18,1.6,0.22,1037.51,5.6
3216,Seaweed,Cup (144g),298.05,38.45,1.58,32.4,31.1,1022.4,144
3217,Seaweed chicken,Piece (18g),42.84,3.19,2.43,2.09,0.41,130.5,18
3218,Seaweed salad,100g,67,0,2.8,11.1,4.4,811,100
3219,"Seaweed with spices, dried",Packet (5g),15.6,0,0.22,3.42,1.26,59.6,5
3220,"Seaweed, dried, agar agar",Packet (20g),61.28,1.24,0.06,16.18,1.54,20.4,20
3221,"Seaweed, dried, hai tai",Piece (18g),45.34,0,0.22,10.84,3.89,364.5,18
3222,"Seaweed, soaked",Cup (100g),14.1,1.1,0.1,2.1,0.9,108,100
3223,"Seeds, jackfruit (cempedak)",Whole (8.4g),12.73,0.52,0.05,2.56,0.12,3.05,8.4
3224,"Seeds, jackfruit (nangka)",Whole (11.2g),15.57,0.53,0.06,3.24,0.18,6.72,11.2
3225,"Seeds, lotus seed, dried",Cup (32g),110.08,5.5,0.64,20.54,0.96,1.63,32
3226,"Seeds, melon seed, flesh only",Cup (108g),601.56,30.56,51.19,16.52,5.83,106.92,108
3227,"Seeds, poppy, white",Tablespoon (8.8g),46.2,1.58,3.66,2.48,1.72,2.29,8.8
3228,"Seeds, sesame seed, black",Cup (144g),764.64,27.5,66.38,14.4,20.16,11.95,144
3229,"Seeds, sesame seed, white",Cup (140g),750.4,25.76,60.76,25.2,14.14,25.2,140
3230,"Seeds, watermelon seed, dried, black",Cup (100g),222.6,8.9,18.1,5.96,2.27,55.86,100
3231,"Semolina, cooked",Cup (245g),74.95,2.45,0.25,15.44,1.47,24.5,245
3232,"Semolina, raw",Cup (160g),520.96,15.68,1.92,105.92,5.12,6.4,160
3233,Semur ayam,145 g,130,40,15,19,2,1949,145
3234,Semur daging,120g,222,19,7,18,2,318,120
3235,Seri kaya,100g,207,5.1,8.4,25.8,3.8,58,100
3236,Sesame roll,Piece (21g),100.38,2.56,6.15,8.69,0.76,17.85,21
3237,Sesame seed ball,Piece (1g),2.38,0.03,0.08,0.37,0.02,0.07,1
3238,"Shad, gizzard",Whole (50g),28.37,4.24,1.27,0,0,26.66,50
3239,"Shad, slender, raw",Whole (209g),235.94,30.72,12.61,0,0,71.23,209
3240,"Shanghai white cabbage, stir fried",Plate-16cm (84.5g),48.17,1.52,4.39,0.56,1.35,306.82,84.5
3241,"Shark fillet, raw",1 portion (200g),198,49.4,0,0,0,12,200
3242,Shark fin soup,Bowl-soup (16 and 1/2 cm) (592g),326.84,29.6,14.8,18.94,0,2326.56,592
3243,"Shark, dog, raw",Whole (273g),450.22,45.86,27.3,0.27,0,273,273
3244,"Shark's fin, dried",Gram (1g),3.52,0.83,0,0,0,1.8,1
3245,Shaved ice,1 portion (400g),252,4.8,1.2,56.4,10.4,108,400
3246,Shepherd's pie,Piece (250g),290,16,13,27.5,4.5,1155,250
3247,"Sherry, unspecified type",Glass (250ml) (55g),71.5,0.11,0,4.57,0,10.45,55
3248,Shibuya Toast,1 portion (314g),907.46,22.61,35.89,123.72,1.88,1171.22,314
3249,"Shishamo, raw",Piece (20g),22,2.86,0.92,0.58,0,73.6,20
3250,"Shishamo, semi-dried, baked",Piece (20g),31.86,4.37,1.4,0.04,0,115.2,20
3251,Shrimp chee cheong fun,Piece (98g),159.74,4.51,8.92,15.48,1.27,328.3,98
3252,"Shrimp dinner, Long John Silver's",1 portion (11g),34.01,0.97,2.43,1.94,0.11,92.31,11
3253,"Shrimp dumpling mee kia, soup",Bowl-soup (16 and 1/2 cm) (574g),398.93,22.96,9.3,55.79,3.79,1996.37,574
3254,"Shrimp dumpling noodle, dry",Plate-23cm (365g),503.34,20.77,23.03,53.29,4.27,1415.11,365
3255,Shrimp paste,Tablespoon (16g),46.24,0.98,0.4,9.71,0.45,272.8,16
3256,Shrimp paste chicken,Plate-20cm (255g),458.54,42.83,29.25,6.23,0,1190.7,255
3257,Shrimp patties,1 piece (120g),276,21.7,18.5,4.4,0.2,218,120
3258,"Shrimp, dried, with chilli",Dessertspoon (12g),53.16,2.33,4.46,0.9,0.24,300.84,12
3259,"Shrimp, fermented",Tablespoon (20g),10.8,1.82,0.16,0.52,0,897,20
3260,"Shrimp, small, cooked in chilli",1 portion (40g),71.2,5.77,5.16,0.39,0.11,113.92,40
3261,"Shrimp, smooth shell, raw",Bowl-rice (11and 1/2 cm) (370g),171.68,39.06,1.07,1.29,0,287.56,370
3262,"Shrooms 10"" Regular Crispy Thin Pizza, Pizzahut",Whole (64g),147.84,7.68,5.6,16.8,2,353.28,64
3263,"Shrooms Burger, KFC",Whole (170g),333.2,18.7,13.91,33.51,4.25,1178.1,170
3264,Shumai,Piece (22g),44.22,2.49,2.64,2.66,0.35,94.38,22
3265,"Sickle fish, spotted, raw",Whole (79g),31.99,6.88,0.17,0.73,0,28.5,79
3266,"Siew mai, filling consist largely of fatty meat, steamed",Piece (27.3g),81.9,3.3,6.12,3.41,0.66,48.87,27.3
3267,"Silver whiting, whole, raw",Whole (64g),27.84,6.56,0.19,0,0,24.96,64
3269,Siu mai,Piece (22g),44.22,2.49,2.64,2.66,0.35,94.38,22
3270,Skimmed milk,Cup (259g),87.98,9.32,0.26,12.43,0,126.91,259
3271,"Skin, braised in dark sauce",Piece (75g),116.25,12.15,7.5,0,0,324,75
3272,Skinny latte,Cup (225g),110.25,6.75,4.5,10.35,0,90,225
3273,Sliced beef soup,Bowl-soup (16 and 1/2 cm) (473g),156.09,30.27,4.26,0,0.95,1929.84,473
3274,Sliced fish bee hoon with milk,Bowl-soup (16 and 1/2 cm) (792g),332.64,25.34,6.42,44.35,3.17,1647.36,792
3275,"Sliced fish bee hoon, no evaporated milk",Bowl-soup (16 and 1/2 cm) (833g),374.85,31.65,4.17,53.31,3.33,1807.61,833
3276,Sliced fish hor fun,Plate-23cm (960.76g),525.54,37.66,7.11,77.82,1.15,3185.4,960.76
3277,"Smoothies, strawberry",Cup (508g),325.12,5.59,1.02,74.17,1.02,172.72,508
3278,"Snack bar, fruit, nuts, seeds",Packet (50g),204,4.55,9.8,25.2,3.85,45.5,50
3279,"Snail, raw",Gram (100g),90,16.1,1.4,2,0,70,100
3280,"Snake gourd, with dhal and ghee, in coconut milk, boiled (Indian)",Plate-16cm (67.03g),38.88,1.81,1.84,3.76,1.43,155.64,67.03
3282,"Snakehead, raw",Whole (312g),124.86,26.41,2.15,0,0,28.7,312
3283,"Snakehead, salted, fried",Piece (40g),163.12,18.56,5.36,10.16,0,158.8,40
3284,"Snapper, golden striped",Whole (305g),161.86,33.31,3.01,0.16,0,126.88,305
3285,"Snapper, red",Whole (673g),337.51,69.99,6.39,0,0,286.03,673
3286,"Snapper, russell's, raw",Whole (250g),90.15,20.6,0.31,1.33,0,87.13,250
3287,"Snow peas, raw",Whole (3.33g),0.79,0.07,0.01,0.1,0.04,0.26,3.33
3288,Snow skin lotus paste mooncake,Slice (25g),93.1,1.06,4.02,13.18,0.58,15.4,25
3289,Soba,Cup (114g),150.48,5.47,1.14,29.41,0.23,2.28,114
3290,Sodium benzoate,Gram (1g),0,0,0,0,0,160,1
3291,soft serve cone,1 portion (103g),147.29,3.09,4,24,3,59.74,103
3292,"Softmeal bread, enriched",Slice (28.5g),72.39,2.42,0.66,13.91,1.11,114.29,28.5
3293,"Soh, lotus seed",Piece (44g),219.12,2.86,13.73,21.03,0.84,34.32,44
3294,"Soh, red bean",Piece (24.9g),111.3,1.39,6.4,12.08,0.57,9.71,24.9
3295,Sohn Papadi,Piece (53g),280.9,1.86,15.05,34.45,0.74,1.59,53
3296,Sole fish,Whole (293g),78.23,16.09,1.54,0,0,48.35,293
3297,"Sole, long tongue, raw",Piece (27g),8.52,1.99,0.04,0.03,0,25.46,27
3299,Sooji halwa,Plate-20cm (133g),428.26,5.05,18.09,61.31,3.33,15.96,133
3300,"Soon kway, steamed",Piece (72.4g),88.6,1.16,1.45,17.67,1.59,269.33,72.4
3302,Sorbitol,Gram (1g),2.6,0,0,1,0,0,1
3303,Soto ayam,Bowl-soup (16 and 1/2 cm) (569g),218.95,19.35,7.97,17.64,7.97,2418.25,569
3304,Sotong bakar,1 portion (255g),308.55,36.21,14.36,8.42,8.42,1379.55,255
3305,Sotong Panggang,1 portion (255g),308.55,36.21,14.36,8.42,8.42,1379.55,255
3306,Sotong sambal,Bowl-soup (16 and 1/2 cm) (219g),251.85,26.94,11.39,10.51,5.04,1944.72,219
3307,Soup Restaurant Samsui Ginger Sauce,Tablespoon (15g),28.5,0.23,2.4,1.5,0.3,151.5,15
3308,"Soup, beef and radish",Bowl-soup (16 and 1/2 cm) (450g),117,19.8,3.15,1.8,1.8,670.5,450
3309,"Soup, beef ball, with beansprouts",Bowl-soup (16 and 1/2 cm) (592g),183.52,19.54,8.88,5.33,1.78,2527.84,592
3310,"Soup, beef, dry mix, prepared",Cup (250g),45.41,2,1.25,6.5,2,1075,250
3311,"Soup, beef, with buah keluak nuts",Bowl-soup (16 and 1/2 cm) (293.43g),268.2,22.18,17.43,5.63,4.37,1570.73,293.43
3312,"Soup, chicken noodle, dry mix",Packet (45g),158.86,5.4,1.49,30.65,0.41,3064.5,45
3313,"Soup, chicken noodle, dry mix, prepared",Cup (250g),46.01,2,0.25,9,7.5,1100,250
3314,"Soup, chicken noodle, instant prepared",1 portion (200g),40.15,2.2,1,5.6,1.6,700,200
3315,"Soup, chicken, with chinese herb",Bowl-soup (16 and 1/2 cm) (534g),145.12,23.75,5.36,0.51,0.63,909.11,534
3316,"Soup, cream of asparagus, canned, prepared W/ water",Can (593g),209.76,5.57,9.96,26.09,1.78,2383.86,593
3317,"Soup, cream of black sesame seed",Bowl-soup (16 and 1/2 cm) (306g),349.15,2.88,11.69,58.14,2.63,14.99,306
3318,"Soup, cream of chicken, canned",Cup (270g),177.46,5.13,8.91,19.17,0.27,1863,270
3319,"Soup, cream of chicken, canned, prepared",Cup (255g),134.08,4.59,6.89,13.52,0.26,1020,255
